Image1,Image2,score
1_P1_S1_5.jpg,1_P1_S1_4.jpg,0.09876543209876543
1_P1_S1_5.jpg,1_P1_S1_5.jpg,1.0
1_P1_S1_5.jpg,1_P1_S2_1.jpg,0.25
1_P1_S1_5.jpg,1_P1_S2_2.jpg,1.0
1_P1_S1_5.jpg,1_P1_S2_3.jpg,4.8
1_P1_S1_5.jpg,1_P1_S2_4.jpg,0.5555555555555556
1_P1_S1_5.jpg,1_P1_S2_5.jpg,0.0
1_P1_S1_5.jpg,1_P2_S1_1.jpg,0.07894736842105263
1_P1_S1_5.jpg,1_P2_S1_2.jpg,0.02702702702702703
1_P1_S1_5.jpg,1_P2_S1_3.jpg,0.012345679012345678
1_P1_S1_5.jpg,1_P2_S1_4.jpg,0.14814814814814814
1_P1_S1_5.jpg,1_P2_S1_5.jpg,0.13580246913580246
1_P1_S1_5.jpg,1_P2_S2_1.jpg,0.16666666666666666
1_P1_S1_5.jpg,1_P2_S2_2.jpg,0.5161290322580645
1_P1_S1_5.jpg,1_P2_S2_3.jpg,0.0
1_P1_S1_5.jpg,1_P2_S2_4.jpg,0.013888888888888888
1_P1_S1_5.jpg,1_P2_S2_5.jpg,0.014925373134328358
1_P1_S2_1.jpg,1_P1_S1_1.jpg,0.0
1_P1_S2_1.jpg,1_P1_S1_2.jpg,0.0
1_P1_S2_1.jpg,1_P1_S1_3.jpg,0.0
1_P1_S2_1.jpg,1_P1_S1_4.jpg,0.0
1_P1_S2_1.jpg,1_P1_S1_5.jpg,0.0
1_P1_S2_1.jpg,1_P1_S2_1.jpg,1.0
1_P1_S2_1.jpg,1_P1_S2_2.jpg,0.125
1_P1_S2_1.jpg,1_P1_S2_3.jpg,1.2
1_P1_S2_1.jpg,1_P1_S2_4.jpg,0.125
1_P1_S2_1.jpg,1_P1_S2_5.jpg,0.0
1_P1_S2_1.jpg,1_P2_S1_1.jpg,0.0
1_P1_S2_1.jpg,1_P2_S1_2.jpg,0.125
1_P1_S2_1.jpg,1_P2_S1_3.jpg,0.0
1_P1_S2_1.jpg,1_P2_S1_4.jpg,0.0
1_P1_S2_1.jpg,1_P2_S1_5.jpg,0.0
1_P1_S2_1.jpg,1_P2_S2_1.jpg,0.0
1_P1_S2_1.jpg,1_P2_S2_2.jpg,0.0
1_P1_S2_1.jpg,1_P2_S2_3.jpg,0.0
1_P1_S2_1.jpg,1_P2_S2_4.jpg,0.0
1_P1_S2_1.jpg,1_P2_S2_5.jpg,0.0
1_P1_S2_2.jpg,1_P1_S1_1.jpg,0.25
1_P1_S2_2.jpg,1_P1_S1_2.jpg,0.0
1_P1_S2_2.jpg,1_P1_S1_3.jpg,0.2857142857142857
1_P1_S2_2.jpg,1_P1_S1_4.jpg,0.0
1_P1_S2_2.jpg,1_P1_S1_5.jpg,0.0
1_P1_S2_2.jpg,1_P1_S2_1.jpg,0.0
1_P1_S2_2.jpg,1_P1_S2_2.jpg,1.0
1_P1_S2_2.jpg,1_P1_S2_3.jpg,0.6
1_P1_S2_2.jpg,1_P1_S2_4.jpg,0.25
1_P1_S2_2.jpg,1_P1_S2_5.jpg,0.25
1_P1_S2_2.jpg,1_P2_S1_1.jpg,0.125
1_P1_S2_2.jpg,1_P2_S1_2.jpg,0.0
1_P1_S2_2.jpg,1_P2_S1_3.jpg,0.0
1_P1_S2_2.jpg,1_P2_S1_4.jpg,0.0
1_P1_S2_2.jpg,1_P2_S1_5.jpg,0.125
1_P1_S2_2.jpg,1_P2_S2_1.jpg,0.0
1_P1_S2_2.jpg,1_P2_S2_2.jpg,0.375
1_P1_S2_2.jpg,1_P2_S2_3.jpg,0.25
